nun	priest
exercise	rest
mistrust	trust
stretch	tight
normokalemic	hypokalemic
automatically	manually
fit	unhealthy
literate	illiterate
base	acid
committally	noncommittally
trustworthy	untrustworthy
ds	dr
ooc	ic
cacodaemon	agathodaemon
lcm	gcd
conditional	categorical
microphallus	macropenis
resolvably	irresolvably
unlimited	finite
deiseal	withershins
fast	loose
roll	rock
navy	air
fruitful	barren
acclivity	declivity
declivity	acclivity
curfew	stay
concrete	intangible
clear	invisible
geese	gander
quality	bad
capricornus	cancer
motion	being
pointful	pointless
redwards	blueward
good	poor
nok	plu
speaker	addressee
negativeness	positiveness
first	last
extension	shortening
hard	controvertible
overdense	underdense
disingenuously	nobly
reading	writing
inferno	heaven
ideal	filter
intestacy	testacy
orange	apple
call	hanging
admit	deny
why	answer
keep	out
anglophobe	anglophile
transinteraction	cisinteraction
hypoalgesia	hyperalgesia
fell	standing
float	sink
considerable	ignorable
mangled	demangled
starboard	larboard
capable	incapable
bed	awake
improve	deteriorate
allopolyploidy	autopolyploidy
curl	extension
sincerity	insincerity
omnidirectional	unidirectional
disprove	prove
frugal	lavish
interest	bore
apple	orange
outmost	centermost
nimby	yimby
gratitude	ingratitude
whole	ground
disastrous	fortunate
rifled	unrifled
legitimate	bastard
gather	scatter
hand	feet
postretirement	preretirement
friend	enemy
stereophonic	mono
base	plate
sunset	sunrise
sickness	well
landscape	still
complete	incomplete
accretion	decay
longsightedness	shortsightedness
demand	politely
systematic	unsystematic
surprise	known
timely	inopportune
insourcing	outsourcing
airside	landside
undamped	damped
untranslatableness	translatability
impossible	possible
brat	good
answer	wrong
flammable	nonflammable
green	processed
perjury	truthfully
intravital	extravital
city	rural
intentionality	unintentionality
ownership	renting
alacrity	hesitance
fertility	infertility
free	cost
outburst	inburst
respect	loath
age	youth
incorrect	correct
gun	peaceful
heterotropic	homotropic
gloriless	gloriful
unsolvable	solvable
spillable	antispill
homeomorph	allomorph
nonwoodiness	woodiness
voiceless	audible
starboard	backboard
offer	deny
consent	disagree
malignant	benign
irreplicability	replicability
likelihood	unlikelihood
dejected	hopeful
yeasay	naysay
afforest	deforest
print	handwritten
excyclovergence	incyclovergence
horse	mule
longform	shortform
fraud	truth
mandatorily	facultatively
inaudible	loud
outdent	indent
sound	silent
print	erase
safe	precarious
shakehand	penholder
underdose	overdose
inhibitive	noninhibitive
allothetic	idiothetic
dress	trousers
pain	enjoyment
own	have
bigender	cisgender
cow	bull
morning	afternoon
gain	weight
husband	wife
lower	higher
nuisance	enjoyment
streamed	nonstreamed
development	demolish
realty	personalty
collar	cuffs
feckless	purposeful
swervingly	unswervingly
happy	sad
birthday	night
intrinsic	extrinsic
livable	unlivable
thunder	lightening
otherward	selfward
impassability	passability
b2g	g2b
head	toe
exhaustible	inexhausting
inconsiderateness	considerateness
postpartum	antepartum
reading	illiterate
moisturize	dehumidify
air	vacuum
yesterday	tomorrow
independent	contingent
retreat	advance
order	chaos
alone	others
reply	silent
reduce	larger
antifeminism	profeminism
bullish	bearish
geminally	vicinally
laterad	mesiad
charge	pay
cover	back
believer	infidel
meaningless	meaningful
sexualizer	desexualizer
tranquilize	madden
introversion	extroversion
atheling	hlæfdige
uncontentious	contentious
hidrosis	anhidrosis
pull	repulsion
much	too
overinflation	underinflation
unobtainable	obtainable
holy	common
next	first
scarce	common
aftersee	foresee
ce	bce
righty	lefty
thanato	bio
troublesome	nontroublesome
gain	loosing
monsoon	dry
washable	nonwashable
terminal	early
describe	vague
noninitiative	initiative
overjudge	underjudge
singleness	multiplicity
depend	fourth
derogatory	honorific
ocean	desert
plus	bad
leap	bounds
eupepsia	indigestion
glory	shame
exist	void
visible	hidden
underpressure	overpressure
ancestor	descendant
multiplayer	singleplayer
despise	love
affix	nonaffix
negativity	positivity
payer	payee
plant	meat
exalt	abase
unarchiver	archiver
supreme	inferior
coin	cash
digital	analog
expensive	inexpensive
fruitless	effective
branch	stem
strengthful	strengthless
wine	grapes
nonpositive	positive
unsorrowful	sorrowful
macrovesicular	microvesicular
leader	follower
heterosocial	homosocial
sportsmanly	unsportsmanly
meristic	ameristic
abrogate	promulgate
guessable	unguessable
quarter	quadruple
spurious	genuine
vulnerable	durable
nonacceptance	acceptance
aunt	niece
unseeded	seeded
away	hear
worstness	bestness
anauxotelic	auxotelic
waste	keep
gunzip	gzip
atheophobe	theophobe
payment	receipt
proportionate	disproportionate
b.c	a.d
agile	unagile
eustress	distress
muzzleloading	breechloading
tailwind	headwind
exa	atto
play	study
reward	detriment
rifle	pistol
incurable	curable
late	timely
little	bog
postnatal	postpartum
commutative	anticommutative
defence	offence
poorly	well
altruistic	misanthropic
gather	lose
member	outsider
ascience	omniscience
next	previously
solifugal	solipetal
tiresome	energizing
sale	expensive
lead	pencil
underfill	overfill
subschema	superschema
endogenous	exogenous
disconfirm	confirm
lazy	productive
imnaaho	imho
nonevolutionary	evolutional
cataphatic	apophatic
filling	emptying
sleep	wakefulness
hypocholesterolemic	hypercholesterolemic
peace	fighting
enemyslash	buddyslash
hypokalemic	normokalemic
grudge	forgiving
enjoy	hate
underreaction	overreaction
extreme	least
chasmogamous	cleistogamous
paint	bleach
perfect	flawed
falsity	verity
work	lazy
essential	inessential
homoplasy	homology
hygroscopic	anhygroscopic
unify	divide
iconodule	iconoclast
cell	line
yellow	red
unceremoniously	formal
delible	insertable
profitseeking	nonprofit
infralow	ultrahigh
nontoxic	nocuous
inaccurate	accurate
oral	written
cloud	sunny
group	separate
middle	extremes
mist	clear
unsequestered	sequestered
credible	unbelievable
parallel	serial
away	home
revamp	debuff
special	general
synphase	counterphase
nation	international
preconviction	postconviction
serialization	deserialization
bullet	shot
ungovernable	governable
decapitate	recapitate
friend	unfriend
dog	cat
garden	desert
lose	gain
fruit	vegetable
undeceitful	deceitful
intempestivity	tempestivity
decryption	encryption
hill	plain
claim	back
pedophilia	teleiophilia
superlogarithm	tetration
centremost	outmost
combination	permutation
altruistically	egoistically
asset	liability
friendly	hostile
comedy	tragedy
finish	begin
buyable	unbuyable
inconceptualizable	conceptualizable
androphobe	androphile
onefold	manifold
form	chaos
aromatic	aliphatic
malleability	brittleness
speciose	oligospecific
war	peace
average	extreme
emphasize	downplay
convertible	inconvertible
floppase	flippase
news	fiction
tiger	lion
discriminate	favor
ployment	deployment
verse	paragraph
monocropping	polycropping
excellent	performance
slender	broad
be	then
disabled	enabled
subduable	unsubduable
prosecutor	defendant
microdick	macropenis
corner	center
waste	valuable
pedophilia	pedophobia
domestic	wild
circumstantial	essential
spillable	unspillable
vivipary	ovipary
foot	arm
sectionable	unsectionable
hesperus	phosphorus
carelessness	carefulness
sin	good
extracapsular	intracapsular
plus	minus
close	pen
acquittal	conviction
excusable	inexcusable
ancient	new
partial	impartial
extralinguistic	intralinguistic
cover	opening
division	multiplication
keep	let
band	act
spoilt	unspoilt
ahead	behind
apartment	house
unit	multiple
unlivable	livable
lie	true
fat	skinny
nadir	zenith
ochlophilia	agoraphobia
polymath	monomath
flawless	defective
receiver	transmitter
summer	winter
unchastely	chastely
impotent	potent
secular	monastic
immateriality	materiality
esotery	exotery
chocolate	vanilla
mobile	immobile
overassessment	underassessment
profane	holy
chick	boy
intramundane	extramundane
necessary	unnecessary
deny	confirm
judge	criminal
refuse	accept
confusion	clarity
hyper	hypo
indefatigable	defatigable
newbie	knowbie
xenna	xenno
deflationary	inflationary
hypocapnia	hypercapnia
test	grade
furl	unfurl
xenocentrism	ethnocentrism
produce	consume
neat	untidy
drive	reverse
siphonostele	protostele
metal	mineral
intralingual	interlingual
uncompress	compress
extermination	give
catch	drop
cold	warmth
port	starboard
egosyntonic	egodystonic
adult	child
enantioasymmetric	enantiosymmetric
inseparable	unannexable
disapproval	approval
homosocial	heterosocial
uncoinable	coinable
beauty	beast
cismontane	ultramontane
possession	exorcism
friendship	foeship
contrarious	cooperative
overdog	underdog
translatable	untranslatable
unmodified	modified
joy	time
lymphoreplete	lymphopenic
like	disliking
separated	unified
hyperammonemia	hypoammonemia
charity	selfishness
fair	unlawful
seroconcordant	serodiscordant
austral	northern
proportionable	unproportionable
trouble	safe
unemployment	employment
animalculism	ovism
nobility	plebeian
inthronize	dethrone
tumultuous	untumultuous
leeward	windward
justice	unfair
dissave	save
unjustified	justified
monosemous	polysemous
sour	sweet
poor	wealthy
corporeal	incorporeal
diminutive	huge
backslope	foreslope
mortal	natal
outbound	inbound
hetero	syn
nightside	dayside
shake	stir
class	redneck
aweather	alee
apportion	amass
in	e
speaker	listener
remote	likely
wonderful	terrible
close	ope
consistent	incompatible
autonomy	dependency
wrong	right
unredressable	redressable
bad	good
diminuendo	crescendo
anisotropy	isotropy
no	yes
bigender	genderless
immortal	mortal
joy	bad
party	boredom
explain	ask
soap	water
blueshift	redshift
write	wrong
coarse	fine
rub	scratch
friendship	enmity
basylous	chlorous
flexibility	inflexibility
lumination	darkening
terrestrial	aerial
arise	sleep
philanthropic	hateful
similarity	difference
temperance	gluttony
advance	late
safe	danger
dishonest	honest
gentle	hard
profeminism	antifeminism
onion	garlic
leptosome	eurysome
vowel	consonant
greater	lesser
introspection	dialogue
invoice	credit
ebb	flood
deliver	receive
sortable	unsortable
rush	calm
prudently	imprudently
biceps	princeps
defendant	prosecutor
hypernymy	hyponymy
close	far
lossy	lossless
commonplace	unique
disclosure	closure
hear	speak
drop	rise
microstate	macrostate
organization	mess
epizootic	enzootic
office	home
basification	acidification
overcook	undercook
busy	idle
duck	jump
chilly	warm
master	servant
articulate	inarticulate
trade	stuff
subhedging	superhedging
extensible	inextensible
dustless	dusty
detach	attach
napkin	cloth
acrimonious	nonacrimonious
professionally	unprofessionally
translatableness	intranslatability
here	away
motion	stationary
new	dated
free	buy
thin	obese
introduce	say
thick	sparse
dress	naked
interlingual	intralingual
nonpotable	potable
extramural	intramural
petalsome	petalless
postprocessed	preprocessed
zetta	zepto
local	fast
credulous	incredulous
indeterminism	determinism
phil	miso
backwardation	contango
help	giving
abolition	establishment
antimonarchy	royalist
omissible	necessary
distavorous	locavorous
talk	silent
proper	wrong
rheopexy	thixotropy
egg	chicken
austral	boreal
employable	unemployable
severe	minor
thelygeny	arrhenogeny
suspend	resume
monosexuality	plurisexuality
trouble	calm
appeasable	inappeasable
explicit	circumspect
depression	happy
admissible	inadmissible
eye	but
inspiring	uninspiring
week	strong
destool	enstool
depressed	cheerful
misandry	philandry
favorite	unfavorite
popular	disliked
nonmimetic	mimetic
antetorsion	retrotorsion
semismart	semistupid
fatigable	indefatigable
aborad	orad
sale	overpriced
unimaginability	imaginability
deal	off
hypo	per
activate	deactivate
technopositivist	technoskeptic
crowd	sparse
physoclist	physostome
original	derivative
abient	adient
apogalactic	perigalactic
atomic	molecular
build	destroy
nonfunctional	functional
limit	infinite
barnburner	hunker
overarm	underarm
wind	fire
ideal	imperfect
unevenly	equally
respect	feeling
devil	cakewalk
fresh	spoiled
bright	dull
interoception	exteroception
outfield	infield
arrhizotonic	rhizotonic
austral	septentrional
noncarbonated	sparkling
closer	farther
insert	delete
power	weak
help	stranded
holococcolithophore	heterococcolithophore
politician	honest
mature	superficial
bradygastria	tachygastria
doubtability	undoubtability
clever	ineffectual
sexful	sexless
southernmost	northernmost
toe	fingers
perishable	unperishable
irregularity	regularity
xenophobia	allophilia
wrinkled	unwrinkled
altruistic	selfish
rest	motion
corruptible	incorruptible
develop	pictures
heat	cooling
heterodox	orthodox
ingenuine	real
prepubescent	postpubescent
indelible	delible
sessile	mobile
simple	difficult
explicitness	implicitness
matrilineal	patrilineal
pride	humility
selfishness	selflessness
existent	nonexistent
max	min
page	chapter
plate	bowl
capital	lower
protect	harm
truthy	falsy
unmarried	married
disdain	adoration
untidy	neat
mistake	purpose
because	therefore
yell	whisper
stranger	friend
bride	groom
certain	uncertain
clear	murky
dysphoria	euphoria
naughty	nice
absoluteness	limitedness
oblate	prolate
grandson	granddaughter
rush	delay
party	evening
dorsopalmar	distopalmar
coltish	serious
interlocus	intralocus
moisture	dry
seed	tree
vulgarize	ennoble
abiogenesis	transformism
bolt	nut
operable	inoperable
oil	water
distance	proximity
health	ill
eligibility	ineligibility
care	indifferent
concavity	convexity
aboveground	belowground
producible	improducible
corporation	sole
portion	whole
average	special
runnable	unrunnable
napkin	hand
lumination	shadowing
forehand	afterhand
graceless	graceful
adaptive	maladaptive
y	less
clean	unclean
heat	air
racemic	enantiopure
breakable	unbreakable
unfathomable	fathomable
religion	science
deficiency	sufficiency
benefit	detriment
brine	desalinate
oleophobic	oleophilic
parasitemic	aparasitemic
postclassical	anteclassical
went	arrived
broadsheet	tabloid
multi	oligo
noise	silence
disdainable	honorable
superhedging	subhedging
anode	cathode
hysteretic	anhysteretic
famous	person
tiny	great
deterioratingly	amelioratingly
named	unnamed
unpredictably	predictably
conspicuous	inconspicuous
moose	rocky
servant	employee
upstairs	downstairs
nice	mean
exact	inexact
credobaptism	paedobaptism
unacceptable	acceptable
some	many
monotheistic	polytheistic
hq	lq
massive	dwarf
disingenuous	ingenuous
minorly	mainly
furnish	move
acidify	alkalify
granddaughter	grandmother
bed	floor
jelly	peanut
impenetrable	penetrable
running	walking
zealous	dispassionate
voiceless	voiced
logophobia	logophilia
mountain	land
gently	roughly
funsies	keepsies
cognizant	unwitting
counterbalance	overpower
inhumane	humane
polyculture	monoculture
cloud	blue
progress	regression
best	worst
care	being
aunt	uncle
overmind	nethermind
postgraduate	pregraduate
absolvitor	condemnator
humiliate	dignify
agitator	agitatee
faultless	faulty
creature	boat
zipper	buttons
graceful	graceless
diacranterian	syncranterian
apoherm	periherm
dihedral	anhedral
division	putting
hopeful	dejected
ruralisation	urbanisation
hall	entrance
approbative	reprobative
outdated	current
coolheaded	reckless
asyndetic	syndetic
miser	spendthrift
straightface	gayface
unhindered	hindered
unsoundness	soundness
disrespectful	respectful
steel	soft
hyposkeletal	episkeletal
maximum	minimum
sacralize	desacralize
stop	keep
humorously	seriously
initiate	end
confutable	provable
eluctable	ineluctable
heteroplasmy	homoplasmy
heterosexual	homosexual
overcharge	undercharge
proper	rude
crippled	noncrippled
votable	nonvotable
organize	chaos
worldly	clerical
arrogate	abandon
apropos	malapropos
proud	ashamed
move	static
happy	disenchanted
rub	tummy
unenviable	enviable
dialog	introspection
physioneurosis	psychoneurosis
join	meet
uncorrelated	correlated
never	always
discouraging	encouraging
bullet	gun
cacophonous	harmonious
inaccurately	accurately
fly	fall
stranger	family
insurable	uninsurable
statue	green
justice	injustice
payment	income
column	row
misuse	use
capital	lowercase
deduce	induce
armenophobia	armenophilia
born	died
overprivileged	underprivileged
slight	essencial
association	disassociate
press	crumple
undescribability	describableness
nullibiquitous	ubiquitous
incinerable	nonincinerable
reconcilable	inreconcilable
immunodeficient	immunocompetent
sadly	happily
services	capital
fine	bad
nonpracticing	religious
man	female
iconoclast	iconodule
servant	mistress
heterodoxy	orthodoxy
conditionality	absoluteness
neither	either
superization	desuperization
overqualified	underqualified
reduce	weight
casual	expected
open	close
round	flat
unshirted	shirted
fortition	lenition
nope	yeah
past	future
explicatable	inexplicable
perihelion	aphelion
temporalism	eternalism
exoergic	endoergic
destructively	constructively
extradiegetic	watsonian
bone	muscle
general	special
purple	nonpurple
softbound	hardcovered
hopefulness	hopelessness
contaminate	decontaminate
charming	charmless
pessimum	optimum
dance	standing
dialefe	sinalefe
surprise	planned
express	delay
noninertial	inertial
rap	country
hypothesis	essay
legalise	criminalise
enrich	deplete
indivisible	divisible
let	reversed
some	none
hypophalangy	hyperphalangy
ioi	iod
nationalism	antinationalism
following	aforesaid
unaccustomed	customary
get	give
impatient	patient
spoken	unspoken
scotophase	photophase
readable	unreadable
elbow	knee
permie	temp
fils	père
unsimple	simple
malodorous	fragrant
fire	hire
filling	empty
perhaps	definitely
receiver	sender
farsightedness	nearsightedness
seasoned	unseasoned
calcifuge	calciphyte
hypersexual	hyposexual
minimum	maximum
gloaming	diurnal
out	safe
tackleable	untackleable
discouragement	encouragement
premarketing	postmarketing
unwashable	washable
philogynist	misogynist
tasteful	gaudy
reformer	traditionalist
chief	employee
prokaryotic	eukaryotic
signed	unsigned
up	down
middle	back
hear	talk
acrophyll	bathyphyll
matter	energy
bless	condemn
profession	collar
neuroatypical	neurotypical
small	adult
landscape	life
disinfectant	infecting
justification	conviction
surrender	take
positive	negative
sale	price
posthistory	prehistory
calm	angry
inauspiciousness	favorableness
unknowability	knowability
widespread	limited
displeasure	contentment
contralateral	ipsilateral
have	lacking
basipetal	acropetal
enstool	destool
mediocre	excellent
drop	hold
registrable	unregistrable
introduce	goodbye
disability	strength
science	art
tarnishable	untarnishable
unsolicited	solicited
upwelling	downwelling
odd	common
rural	city
uncourtliness	courtliness
announcement	denounce
soap	dirty
antagonist	protagonist
happily	unhappily
march	still
multiprocessor	monoprocessor
sullen	cheerful
whoa	giddyup
premiere	finale
trollable	untrollable
atheistical	theistical
indefensible	defensible
inthronize	disthrone
contingentism	necessitism
untruth	verity
imprecisely	accurately
unsnarl	snarl
sexualization	desexualization
book	niggers
fair	foul
memoryful	memoryless
harmful	harmless
clear	cloudy
fear	unafraid
subadditivity	superadditivity
upbeat	downbeat
gather	hunter
debuff	improve
xanthous	leucous
indivisible	incombinable
news	sports
costly	costlessly
violably	inviolably
page	cover
brief	long
standard	colloquial
negligible	important
unfinished	finished
numerate	dyscalculic
yolk	white
merit	worthless
center	periphery
backside	frontside
abundance	few
commiscible	incommiscible
facultatively	mandatorily
uncertain	certain
migratory	sedentary
supportable	intolerable
unmergeable	mergeable
uxoricide	mariticide
join	split
help	leave
etiquette	mannered
vironegative	viropositive
incalculable	tiny
understatement	hyperbole
monogenist	polygenist
aff	neg
window	door
contrasting	identical
exclude	include
rest	out
postcourse	precourse
libra	aries
any	none
beneficial	maleficial
arrive	disembark
favorable	bad
antipathetic	sympathetic
debrine	salinate
deagglomerate	agglomerate
animal	plant
flightless	flighted
follow	precede
israelophobe	israelophile
orthotonesis	enclisis
unyoung	young
afterglow	hangover
cork	uncork
predose	postdose
color	black
selfish	unselfish
taste	sight
slope	plane
cleanable	uncleanable
drop	up
contact	glasses
exhale	inhale
reflation	disinflation
noncombustibility	combustibility
new	accustomed
permit	deny
euphemism	dysphemism
despeciation	speciation
immortality	now
lethetic	alethetic
earliness	lateness
slavery	freedom
extend	shorten
delete	insert
comfort	uneasy
effective	ineffective
disrespect	respect
maturity	childishness
price	free
ruralization	urbanization
silk	wool
value	expensive
shortage	mountain
duty	voluntary
cowardice	bravery
honest	liar
immunocompromised	immunocompetent
hindlook	forelook
archiver	unarchiver
inverse	compute
peelable	nonpeelable
uncontrollably	controllably
postpausal	prepausal
quick	slow
undependable	dependable
movement	stasis
change	money
vice	virtue
motion	stillness
matter	space
mistress	cicisbeo
unused	acquainted
unaccountably	accountably
escape	captured
freedom	communism
deteriorate	improve
badly	well
unexpected	expected
tabloid	broadsheet
fainthearted	determined
radical	ignorable
darkness	lightness
laughter	crying
reactionary	nonreactionary
floor	wall
marry	single
soap	clean
hyperdiploidy	hypodiploidy
categorically	conditionally
game	drudgery
maturity	immaturity
stitch	rip
rtl	ltr
stretch	relax
damaging	undamaging
downgradient	upgradient
homosubspecific	heterosubspecific
permanence	transience
undesirable	desirable
navy	force
paste	cut
exolabial	endolabial
disconsolate	consolable
empower	forbid
nonadsorptive	adsorptive
obesogenic	leptogenic
poison	sweet
precision	imprecision
word	numbers
homothallic	heterothallic
without	within
anteriormost	posteriormost
oppose	support
declivous	acclivous
usable	unusable
endofacial	exofacial
paleo	neo
religiophobia	atheophobia
abstract	applied
respect	rude
prosecutor	attorney
unknownness	fame
discombobulate	combobulate
reptile	amphibian
tolerable	intolerable
citizen	alien
rock	water
obtuse	acute
incorruptible	corruptible
premeditated	unpremeditated
microphyll	megaphyll
paint	pencil
unpowered	powered
expiration	inspiration
forename	aftername
quiet	vocal
homogangliate	heterogangliate
run	stand
favorable	inauspicious
subceed	exceed
idiocentric	sociocentric
passive	active
incommensurate	commensurate
humiliation	exaltation
uncitable	citable
aftershock	foreshock
avail	disavail
captain	mate
smooth	rough
inept	adept
watch	time
annihilative	creative
nosuh	yassuh
fail	pass
encumbered	unencumbered
energy	tired
normogenesis	teratogenesis
united	divided
stranger	person
accuracy	inaccuracy
rvalue	lvalue
unfledged	fledged
hostility	friendliness
antispin	antilock
blackness	whiteness
fresh	spoilt
party	studying
chord	single
breedable	unbreedable
attack	retreat
possibilism	actualism
unchewable	chewable
decommunisation	communisation
doom	fortune
transliteratable	untransliteratable
generator	extinguisher
noble	inferior
micropsia	macropsia
islamophilic	islamophobic
caffeinated	decaf
kitten	dog
standard	informal
immaturity	maturity
makeover	makeunder
chick	adult
femininity	masculinity
kick	hit
yocto	yotta
one	many
realizability	unrealizability
cisgender	transgender
downstairs	upstairs
phile	phobe
uptempo	downtempo
hueless	huesome
stripe	spots
patriclinous	matroclinous
smoked	unsmoked
respect	neglect
embus	debus
grow	shrink
northwards	southwards
unabideable	supportable
decommunization	communization
deliver	ship
escape	being
underfix	overfix
recessive	dominant
polyandrous	monandrous
wreckable	buildable
climb	fall
homoplasmy	heteroplasmy
adopt	orphan
masculinize	feminize
sick	well
multicore	unicore
extrauterine	intrauterine
dysfunction	function
stereophonic	monaural
exceed	inferior
sourceable	unsourceable
age	human
nonstatic	static
coterminal	terminal
gloom	joy
maleficent	benevolent
hypoammonemia	hyperammonemia
tax	discount
prodigal	frugal
read	ignore
surprise	expected
counterbalance	overcome
seawards	landwards
approbative	pejorative
disdainful	respectful
incurrent	excurrent
curse	bless
cacographic	orthographic
coordination	incoordination
easy	difficult
flood	drain
gold	rubbish
inch	centimeter
joy	infelicity
man	boy
virility	muliebrity
telic	atelic
forebeat	afterbeat
inadequately	adequately
compliable	incompliable
overthink	underthink
replenish	deplete
news	information
faultlessness	fallibility
average	brilliant
derivative	coincidental
wreckable	unwreckable
assessable	nonassessable
nighttime	daytime
lift	depress
interest	boring
lemon	limes
biodilution	bioamplification
unrealistically	realistically
dissimilation	assimilation
keep	give
exhaustible	inexhaustible
ripe	rotten
undersegmentation	oversegmentation
ulterior	citerior
courage	cowardice
inexpressable	expressable
machine	organic
infiniteness	finiteness
sunshine	shade
statue	painting
filipino	filipina
rear	front
stative	dynamic
illogicalness	logicalness
commence	stop
his	her
men	girl
polychromatic	monochromatic
fact	lie
servant	maid
prisoner	guard
resacralization	secularization
brainiac	ignoramus
bellicism	pacifism
help	hurt
rescue	arrest
domestic	adventurous
symmetric	asymmetric
halal	haram
semifake	semitrue
super	sub
accelerate	unaccelerate
make	apart
elevate	demote
wash	drying
merger	division
disputatious	conciliatory
insertion	deletion
unidirectional	bidirectional
voluntary	accidental
build	demolish
edentulous	dentulous
hand	body
fragmentation	defragmentation
nothing	everything
rescue	abandon
success	failure
polygynous	oligogynous
salt	black
intimacy	solitude
employ	fire
get	put
syndetic	asyndetic
add	subtract
unsweet	sweet
polyandry	polygyny
music	noise
unhappy	joyful
shepherdly	unshepherdly
boreal	meridional
unjust	just
brightly	dimly
layman	professional
or	either
giddap	whoa
philanthropic	mean
homozygous	heterozygous
darkmans	lightmans
nearsightedness	farsightedness
noisily	quietly
hyperopia	shortsightedness
head	toes
waste	save
black	bright
manyness	singleness
postdreissenid	predreissenid
receive	send
trailing	leading
nonuniform	uniform
allosexual	isosexual
hibernate	aestivate
theft	giving
crystalliferous	acrystalliferous
law	disorder
mortal	being
rationalist	irrationalist
cable	hawser
entropy	aggregation
unabideable	bearable
calciphilous	calciphobous
intended	unintended
forth	backwards
chance	certainty
incomprehensibly	understandably
phenomenon	noumenon
animal	bird
curseworthy	blessworthy
connected	disconnected
sugariness	sourness
bright	dark
climb	falling
pulpit	pew
underfished	overfished
vision	blindness
cisvestite	transvestite
reply	silence
filthy	holy
heterochelous	homochelous
flow	up
cacodæmon	agathodaemon
again	once
cloud	clear
empire	federation
flawless	flawed
gui	cui
forgivable	unforgivable
innocuous	harmful
immodest	modest
ombrophobic	ombrophilous
work	unemployed
macraner	micraner
uncluttered	cluttered
aggravate	mitigate
child	mother
include	exclude
heaven	horror
majority	minority
outbreak	inbreak
slip	steady
registered	unregistered
stalinization	destalinization
tag	untag
people	animals
old	young
miss	master
pay	receive
latter	prior
much	none
swallow	regurgitate
househusband	housewife
unpleasantry	pleasantry
categorise	decategorise
undershare	overshare
deftly	unskillfully
irreverent	reverent
subglacial	supraglacial
hand	leg
quicken	en
ecstasy	agony
sullen	lighthearted
contain	go
exultant	miserable
indirect	direct
play	doing
precompile	jit
bear	bull
feed	someone
owner	borrower
off	on
detractor	proponent
citerior	ulterior
many	one
occidental	oriental
deserialize	serialize
flaccid	erect
polylectic	monolectic
business	pleasure
fiawol	fijagh
postgender	pregender
implicitly	explicitly
fair	cheating
inhospitable	hospitable
weaken	strengthen
weightful	weightless
offline	online
preprandial	postprandial
rain	snow
discombobulate	recombobulate
perigalactic	apogalactic
conscious	unaware
homonucleotide	heteronucleotide
homophily	heterophily
errand	staying
blow	sucking
hang	go
flatscreen	roundscreen
customer	employee
proangiogenic	antiangiogenic
cost	income
mark	clean
school	college
dishearten	hearten
nontoxic	poisonous
halalness	haramness
edge	corner
one	zero
practicability	impracticability
brutal	gentle
acceptable	inacceptable
surprise	obvious
underthink	overthink
farsightedness	myopia
sin	holiness
men	woman
now	other
counterargue	bolster
south	north
aboveground	underground
eutrophic	oligotrophic
majority	minor
bless	desecrate
always	never
blessed	contemn
adopt	own
embody	disembody
tax	free
ectropy	entropy
briticism	americanism
ditch	mound
proterandrous	proterogynous
rightard	leftard
unitary	federalist
disactivate	activate
kick	punch
ventral	dorsal
sexualize	desexualize
preserve	rot
monotony	polytony
nocturne	diurne
fell	got
finger	toe
defiant	docile
luckily	unluckily
lessness	moreness
winner	loser
value	despise
oil	gas
permie	contractor
cover	leave
feet	arms
exactly	approximately
hold	lose
printable	unprintable
little	plenty
actual	pretend
forest	desert
nominalism	realism
crystalline	amorphous
truthfulness	untruthfulness
sociable	unsociable
anisosyllabic	isosyllabic
squirrel	nuts
sdg	dsg
dysgnathic	eugnathic
upstroke	downstroke
flawful	flawless
micro	mega
mux	demux
neurodegenerative	neurogenerative
utopia	dystopia
deuterotheme	prototheme
spectacled	unspectacled
authoritarian	servile
undefinability	definability
apathy	empathy
centre	periphery
light	heavy
predreissenid	postdreissenid
carry	baggage
calm	anxious
restaurant	dining
apéritif	digestif
foreign	person
drink	thirst
hammer	nail
homoousian	homoiousian
lift	put
thwart	encourage
unpolished	civilized
test	practice
untreatability	treatability
matchwinning	matchlosing
singular	invertible
dullsville	thrillsville
lord	lady
butch	femme
dianoetic	intuitive
insensate	sentient
automatic	stick
one	two
cyclical	acyclic
free	bondage
formulable	informulable
hypodense	hyperdense
owner	buyer
wampum	suckanhock
extracellular	intracellular
upkick	downkick
describability	indescribability
discarnate	corporeal
along	short
politeness	impoliteness
reduce	gain
god	mortal
clonic	tonic
if	then
disdainable	adorable
microbleed	macrobleed
oversold	overbought
compliment	insult
unrepeatable	repeatable
pieceworker	timeworker
prolate	oblate
bluewards	redward
win	lose
tough	weak
cheerful	depressed
idiot	genius
draw	painting
midwinter	midsummer
undeniable	deniable
dad	mother
mero	holo
fine	okay
sumpsimus	mumpsimus
unluckily	luckily
dextrosinistral	sinistrodextral
tragedic	comedic
disinhibit	inhibit
car	bike
newfag	oldfag
worker	boss
damped	undamped
costume	dress
loyal	disloyal
shirted	unshirted
punishment	rewarding
indeterminism	uncertainty
postrevolutionary	prerevolutionary
inflated	deflated
preconsonantally	prevocalically
hypermyelination	hypomyelination
power	weakness
bright	really
rub	pat
blue	happy
rush	slowly
decontaminate	contaminate
dynamic	static
longhand	shorthand
anteclassical	postclassical
strengthen	atrophy
freedom	constraint
insane	sane
sheep	lamb
unnecessariness	necessity
q	dnq
atelic	telic
outro	intro
